experiment,seeds_completed,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
compgcn_all_neighbours,3,"42,43,44",0.4314652054119784,0.0002477177172938566,0.15621542609158048,0.002256443629974911,0.38631847170409556,0.0009397449980074367,0.198939294643461,0.0018678745883330362,0.14559507338926053,0.0023846056928771733
compgcn_baseline,3,"42,43,44",0.43026972668175123,0.0007474975646268309,0.15430017570686874,0.003195062989355144,0.3831140344490456,0.000827053474929192,0.19952552706537102,0.0017822165094041474,0.14268939658745547,0.003381097810815979
rgcn_hierarchy_with_aux,3,"42,43,44",0.4406083088337156,0.0012483061445312295,0.15211588756203726,0.002612285203812009,0.3972595504576172,0.0007762881729637867,0.19769248078813123,0.005195745060236754,0.14002870525144073,0.002444250029066544
rgcn_baseline,3,"42,43,44",0.43155242918199493,0.0003873676602618996,0.14815417117889254,0.0024158879798577004,0.3848701952477034,0.0008687226049371778,0.2018483568693794,0.006438468250388336,0.1330786811763496,0.0021174905800045336
rgcn_l3_only,3,"42,43,44",0.4303364272117639,0.0005423147243666748,0.14787420906783189,0.0008565458386556654,0.3841004506345641,0.0006375336402230788,0.20155924259327238,0.004457236715993126,0.13256492736782505,0.0010199891265171388
rgat_baseline,3,"42,43,44",0.42528257936080366,0.0012499499843721836,0.14000679135005192,0.0006344848096853634,0.38006960407721313,0.0006065887844377663,0.18885726606157888,0.005585958935590869,0.1253081281694656,0.0006758973029091889
rgcn_random_matched_education,3,"42,43,44",0.405831678647108,0.0006157613319019661,0.13447825019026838,0.0033682857863108527,0.36173868593305997,0.000988954236434965,0.1904546953797244,0.006130388958496495,0.1181579488848799,0.0027932631243131017
rgcn_semantic_occupation,3,"42,43,44",0.4302389418217454,0.000636572051710663,0.13366407411679537,0.0015097732673001669,0.379817433250056,0.00042831581983182045,0.18411590564592453,0.0009947285299462298,0.1206009356866044,0.0016935141381761703
rgcn_relation_shuffled,3,"42,43,44",0.40889477221769,0.0017590748443007246,0.13237826936360236,0.0009761470896702642,0.3656744556410241,0.0008033837587537229,0.1744754387260916,0.0014657108872443807,0.12106328205690609,0.0015722571664730568
rgcn_logit_adjusted,3,"42,43,44",0.22267202323230767,0.00403834513785657,0.11979069088160867,0.0010736203449402037,0.2605956555647279,0.004017702068186868,0.1316707674535257,0.001430249376142633,0.16571382295130113,0.004337999510274932
rgcn_without_education,3,"42,43,44",0.3559653362476334,0.0007490279717762161,0.11540070179581625,0.0008565433170917903,0.3099963847907668,0.0011856555150262954,0.1764662561618864,0.003961301224575484,0.10028750083439289,0.0007286554960693749
rgcn_class_balanced,3,"42,43,44",0.21388807651063874,0.0033968946005682654,0.1036558948621038,0.0022283923796042613,0.2527894362467979,0.003950742843710432,0.1183461646890566,0.004284465137849513,0.15298735453967266,0.002032355556018406
rgcn_random_matched_kinship,3,"42,43,44",0.278510628472917,0.0011488776121376624,0.07675207780182003,0.0030400698458133146,0.2538559563510491,0.001069483496759032,0.1509123702277092,0.0028276179014450507,0.05803211116880832,0.002412562126942125
rgcn_without_kinship,3,"42,43,44",0.27470356745219365,0.000175050124003772,0.058450457207435656,0.0011594165185903,0.21996606011141642,0.0005119685012541058,0.1259167931811429,0.0034759330174257874,0.04729494542919735,0.000971157486401825
rgcn_structural,3,"42,43,44",0.24836198890718877,0.0004216327213108583,0.010671945865596354,0.0008233790963942493,0.1574312563820248,0.0014390147992581455,0.024011404792034462,0.002132812033447583,0.012478266905596886,0.0006174492517817286
compgcn_structural_sampled_full_eval,3,"42,43,44",0.24233328715604333,0.0012329647095451095,0.005952800443157695,0.0002704257756156862,0.14148726593054606,0.0009124325565685475,0.007048657168172336,0.0011313115141003299,0.009553228678960418,0.00012491859941271078
rgcn_balanced_roots,3,"42,43,44",0.014094335072677924,0.0009669501168820452,0.004759809115493835,6.976278713641474e-05,0.013015849263984627,0.0003551414252186862,0.010694060910754642,0.0023130498801216923,0.01866910172543766,0.0016899901934742667
compgcn_structural_full,3,"42,43,44",0.0944889969779529,0.016938285792408865,0.0002527401315184852,4.1846596282151787e-05,0.016609224260298896,0.005337192920390198,0.00013854691638996028,2.483619617655259e-05,0.001466275659824047,0.0
